File Created by: PDT Download Downhole Data
Version: 1.234
Tool Name: PowerMaster
Tool Serial Number: 14
PC Download Start Date and Time: 2/27/2021 at  18:31:0
Date and Time on the tool: 2/27/2021 at  18:31:1
#Recorded ,            Date-Time ,    CRC , objectId ,  jobID , runNum , dataLen ,     XYVibe ,     XYPeak , XYShock ,       ZVib ,      ZPeak , ZShock , ZVibeFlg , ZShkFlg , XYVibeFlg , XYShkFlg , PackedVib , 
000000000 ,  2021/02/24 10:32:18 ,  39805 ,        3 ,      0 ,      0 ,      25 ,          0 ,          0 ,       0 ,          0 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000001 ,  2021/02/24 10:32:18 ,   2880 ,        3 ,      0 ,      0 ,      25 ,          1 ,          2 ,       3 ,          4 ,          5 ,      6 ,        7 ,       8 ,         9 ,       10 ,        11 , 
000000002 ,  2021/02/24 10:32:18 ,  23049 ,        3 ,      0 ,      0 ,      25 ,          2 ,          4 ,       6 ,          8 ,         10 ,     12 ,       14 ,      16 ,        18 ,       20 ,        22 , 
000000003 ,  2021/02/24 10:32:18 ,  59236 ,        3 ,      0 ,      0 ,      25 ,          3 ,          6 ,       9 ,         12 ,         15 ,     18 ,       21 ,      24 ,        27 ,       30 ,        33 , 
000000004 ,  2021/02/24 10:32:18 ,  12530 ,        3 ,      0 ,      0 ,      25 ,          4 ,          8 ,      12 ,         16 ,         20 ,     24 ,       28 ,      32 ,        36 ,       40 ,        44 , 
000000005 ,  1970/01/01 00:00:33 ,  42028 ,        3 ,      0 ,      0 ,      25 ,  0.6687595 ,   3.230769 ,       0 ,  0.6169955 ,   2.076923 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000006 ,  1970/01/01 00:01:03 ,   5812 ,        3 ,      0 ,      0 ,      25 ,  0.5598049 ,          0 ,       0 ,  0.5932938 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000007 ,  1970/01/01 00:01:33 ,  24680 ,        3 ,      0 ,      0 ,      25 ,  0.5596059 ,          0 ,       0 ,  0.5937258 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000008 ,  1970/01/01 00:02:03 ,  58980 ,        3 ,      0 ,      0 ,      25 ,  0.5585932 ,          0 ,       0 ,  0.5940765 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000009 ,  1970/01/01 00:02:33 ,  54510 ,        3 ,      0 ,      0 ,      25 ,  0.5592298 ,          0 ,       0 ,  0.5938932 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000010 ,  1970/01/01 00:03:03 ,   8157 ,        3 ,      0 ,      0 ,      25 ,  0.5583284 ,          0 ,       0 ,    0.59448 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000011 ,  1970/01/01 00:03:33 ,  18633 ,        3 ,      0 ,      0 ,      25 ,  0.5598676 ,          0 ,       0 ,  0.5940863 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000012 ,  1970/01/01 00:04:03 ,  49185 ,        3 ,      0 ,      0 ,      25 ,   0.559735 ,          0 ,       0 ,  0.5918007 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000013 ,  1970/01/01 00:04:33 ,  59100 ,        3 ,      0 ,      0 ,      25 ,  0.5597772 ,          0 ,       0 ,  0.5928724 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000014 ,  2021/02/24 10:37:26 ,  61853 ,        3 ,      0 ,      0 ,      25 ,  0.5603483 ,          0 ,       0 ,  0.5945346 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000015 ,  2021/02/24 10:37:56 ,  19500 ,        3 ,      0 ,      0 ,      25 ,  0.5595951 ,          0 ,       0 ,  0.5957577 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000016 ,  2021/02/24 10:38:26 ,  17132 ,        3 ,      0 ,      0 ,      25 ,  0.4761495 ,   1.846154 ,       0 ,  0.5351449 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000017 ,  2021/02/24 10:38:56 ,   7501 ,        3 ,      0 ,      0 ,      25 ,   0.378129 ,          0 ,       0 ,  0.4267424 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000018 ,  2021/02/24 10:39:26 ,  36752 ,        3 ,      0 ,      0 ,      25 ,  0.3717102 ,          0 ,       0 ,  0.4300053 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000019 ,  2021/02/24 10:39:56 ,  20053 ,        3 ,      0 ,      0 ,      25 ,  0.3823816 ,          0 ,       0 ,  0.4019112 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000020 ,  2021/02/24 10:40:26 ,  48059 ,        3 ,      0 ,      0 ,      25 ,  0.3819352 ,          0 ,       0 ,  0.3991013 ,          2 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000021 ,  2021/02/24 10:40:56 ,   4167 ,        3 ,      0 ,      0 ,      25 ,  0.3791484 ,   2.115385 ,       0 ,  0.3998845 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000022 ,  2021/02/24 10:41:26 ,   5452 ,        3 ,      0 ,      0 ,      25 ,  0.3758897 ,          0 ,       0 ,  0.4069374 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000023 ,  2021/02/24 10:41:56 ,  60038 ,        3 ,      0 ,      0 ,      25 ,  0.3755196 ,          0 ,       0 ,  0.4056833 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000024 ,  2021/02/24 10:42:26 ,  44255 ,        3 ,      0 ,      0 ,      25 ,   0.375059 ,          0 ,       0 ,   0.405559 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000025 ,  2021/02/24 10:42:56 ,  51428 ,        3 ,      0 ,      0 ,      25 ,  0.3748615 ,          0 ,       0 ,  0.4070513 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000026 ,  2021/02/24 10:43:26 ,  51500 ,        3 ,      0 ,      0 ,      25 ,  0.3745164 ,          0 ,       0 ,  0.4055011 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000027 ,  2021/02/24 10:43:56 ,  15398 ,        3 ,      0 ,      0 ,      25 ,  0.3777858 ,          0 ,       0 ,  0.4002108 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
