File Created by: PDT Download Downhole Data
Version: 1.234
Tool Name: PowerMaster
Tool Serial Number: 23
PC Download Start Date and Time: 1/22/2021 at  20:26:41
Date and Time on the tool: 1/22/2021 at  20:26:41
#Recorded ,            Date-Time ,    CRC , objectId ,  jobID , runNum , dataLen ,     XYVibe ,     XYPeak , XYShock ,       ZVib ,      ZPeak , ZShock , ZVibeFlg , ZShkFlg , XYVibeFlg , XYShkFlg , PackedVib , 
000000000 ,  1970/01/01 00:04:48 ,  39319 ,        3 ,      0 ,      0 ,      25 ,          0 ,          0 ,       0 ,          0 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000001 ,  1970/01/01 00:04:48 ,   2474 ,        3 ,      0 ,      0 ,      25 ,          1 ,          2 ,       3 ,          4 ,          5 ,      6 ,        7 ,       8 ,         9 ,       10 ,        11 , 
000000002 ,  1970/01/01 00:04:48 ,  22755 ,        3 ,      0 ,      0 ,      25 ,          2 ,          4 ,       6 ,          8 ,         10 ,     12 ,       14 ,      16 ,        18 ,       20 ,        22 , 
000000003 ,  1970/01/01 00:04:48 ,  58766 ,        3 ,      0 ,      0 ,      25 ,          3 ,          6 ,       9 ,         12 ,         15 ,     18 ,       21 ,      24 ,        27 ,       30 ,        33 , 
000000004 ,  1970/01/01 00:04:48 ,  12824 ,        3 ,      0 ,      0 ,      25 ,          4 ,          8 ,      12 ,         16 ,         20 ,     24 ,       28 ,      32 ,        36 ,       40 ,        44 , 
000000005 ,  1970/01/01 00:00:33 ,  48224 ,        3 ,      0 ,      0 ,      25 ,  0.7723944 ,   2.115385 ,       0 ,  0.8493045 ,   3.730769 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000006 ,  1970/01/01 00:01:03 ,  11788 ,        3 ,      0 ,      0 ,      25 ,  0.7618324 ,          0 ,       0 ,  0.7364752 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000007 ,  1970/01/01 00:01:33 ,  35100 ,        3 ,      0 ,      0 ,      25 ,   0.762697 ,          0 ,       0 ,  0.7380499 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000008 ,  2021/01/21 09:44:13 ,  14344 ,        3 ,      0 ,      0 ,      25 ,   0.759425 ,          2 ,       0 ,  0.7360257 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000009 ,  2021/01/21 09:44:43 ,  51564 ,        3 ,      0 ,      0 ,      25 ,  0.7622168 ,   1.807692 ,       0 ,   0.734207 ,   1.653846 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
