File Created by: PDT Download Downhole Data
Version: 1.234
Tool Name: PowerMaster
Tool Serial Number: 14
PC Download Start Date and Time: 1/29/2021 at  3:24:16
Date and Time on the tool: 1/29/2021 at  3:24:16
#Recorded ,            Date-Time ,    CRC , objectId ,  jobID , runNum , dataLen ,     XYVibe ,     XYPeak , XYShock ,       ZVib ,      ZPeak , ZShock , ZVibeFlg , ZShkFlg , XYVibeFlg , XYShkFlg , PackedVib , 
000000026 ,  2021/01/22 09:31:08 ,  28406 ,        3 ,      0 ,      0 ,      25 ,   0.696691 ,   1.692308 ,       0 ,  0.7474723 ,   2.038462 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000027 ,  2021/01/22 09:31:38 ,  43554 ,        3 ,      0 ,      0 ,      25 ,  0.7083866 ,   2.346154 ,       0 ,  0.7373728 ,   1.769231 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000028 ,  2021/01/22 09:32:08 ,  36352 ,        3 ,      0 ,      0 ,      25 ,        NaN ,        NaN ,   65535 ,        NaN ,        NaN ,  65535 ,      255 ,     255 ,       255 ,      255 ,       255 , 
000000029 ,  2021/01/22 09:32:38 ,  55463 ,        3 ,      0 ,      0 ,      25 ,  0.6978546 ,   2.076923 ,       0 ,  0.7451127 ,   2.153846 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000030 ,  2021/01/22 09:33:08 ,    547 ,        3 ,      0 ,      0 ,      25 ,  0.6971228 ,          0 ,       0 ,  0.7444269 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000031 ,  2021/01/22 09:33:38 ,  35130 ,        3 ,      0 ,      0 ,      25 ,  0.7002738 ,   1.576923 ,       0 ,  0.7390866 ,   1.769231 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000032 ,  2021/01/22 09:34:08 ,  33401 ,        3 ,      0 ,      0 ,      25 ,  0.6962709 ,          0 ,       0 ,  0.7450615 ,   1.692308 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000033 ,  2021/01/22 09:34:38 ,  63218 ,        3 ,      0 ,      0 ,      25 ,  0.7000954 ,          0 ,       0 ,   0.739485 ,   2.076923 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000034 ,  2021/01/22 09:35:08 ,  20037 ,        3 ,      0 ,      0 ,      25 ,  0.6926336 ,        1.5 ,       0 ,  0.7479679 ,          2 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000035 ,  2021/01/22 09:35:38 ,  63357 ,        3 ,      0 ,      0 ,      25 ,  0.6987141 ,   2.115385 ,       0 ,  0.7410309 ,   2.576923 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000036 ,  2021/01/22 09:36:08 ,  19153 ,        3 ,      0 ,      0 ,      25 ,  0.6961154 ,   2.269231 ,       0 ,  0.7434777 ,   1.807692 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000037 ,  2021/01/22 09:36:38 ,   9198 ,        3 ,      0 ,      0 ,      25 ,  0.6969718 ,          0 ,       0 ,  0.7453513 ,          2 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000038 ,  2021/01/22 09:37:08 ,  50930 ,        3 ,      0 ,      0 ,      25 ,  0.6913479 ,   1.692308 ,       0 ,  0.7481279 ,   1.884615 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000039 ,  2021/01/22 09:37:38 ,     90 ,        3 ,      0 ,      0 ,      25 ,        NaN ,        NaN ,   65535 ,        NaN ,        NaN ,  65535 ,      255 ,     255 ,       255 ,      255 ,       255 , 
000000040 ,  2021/01/22 09:38:08 ,  15198 ,        3 ,      0 ,      0 ,      25 ,  0.6949814 ,   1.769231 ,       0 ,  0.7431746 ,   1.769231 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000041 ,  2021/01/22 09:38:38 ,  39528 ,        3 ,      0 ,      0 ,      25 ,  0.6894811 ,          0 ,       0 ,  0.7440865 ,   2.423077 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000042 ,  2021/01/22 09:39:08 ,  22741 ,        3 ,      0 ,      0 ,      25 ,  0.6881496 ,          0 ,       0 ,   0.748089 ,   2.153846 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000043 ,  2021/01/22 09:39:38 ,  61925 ,        3 ,      0 ,      0 ,      25 ,  0.6905068 ,   2.115385 ,       0 ,  0.7459353 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000044 ,  2021/01/22 09:40:08 ,  57171 ,        3 ,      0 ,      0 ,      25 ,  0.6926053 ,          0 ,       0 ,  0.7476401 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000045 ,  2021/01/22 09:40:38 ,   5387 ,        3 ,      0 ,      0 ,      25 ,   0.692477 ,          0 ,       0 ,   0.748956 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000046 ,  2021/01/22 09:41:09 ,  57467 ,        3 ,      0 ,      0 ,      25 ,  0.6928055 ,   1.615385 ,       0 ,  0.7523389 ,   1.846154 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000047 ,  2021/01/22 09:41:39 ,  20186 ,        3 ,      0 ,      0 ,      25 ,  0.6937881 ,   1.692308 ,       0 ,  0.7530046 ,   1.653846 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000048 ,  2021/01/22 09:42:09 ,  21000 ,        3 ,      0 ,      0 ,      25 ,  0.6987167 ,   2.346154 ,       0 ,  0.7549161 ,   2.538462 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000049 ,  2021/01/22 09:42:39 ,  62299 ,        3 ,      0 ,      0 ,      25 ,  0.6947584 ,   1.923077 ,       0 ,  0.7554762 ,   2.230769 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000050 ,  2021/01/22 09:43:09 ,  24750 ,        3 ,      0 ,      0 ,      25 ,  0.6936975 ,          0 ,       0 ,  0.7556504 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000051 ,  2021/01/22 09:43:39 ,  60780 ,        3 ,      0 ,      0 ,      25 ,  0.6937116 ,          0 ,       0 ,  0.7555574 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000052 ,  2021/01/22 09:44:09 ,  43715 ,        3 ,      0 ,      0 ,      25 ,  0.6938285 ,          0 ,       0 ,  0.7567078 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000053 ,  2021/01/22 09:44:39 ,  22669 ,        3 ,      0 ,      0 ,      25 ,  0.6940119 ,          0 ,       0 ,  0.7568867 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
